ID,GLU (umL),Fru (umL),Mal (umL),PBS (umL),tot_vol (umL)
AA01,0.0,0.0,0.0,375.0,375
AB01,31.25,0.0,0.0,343.75,375
AC01,62.5,0.0,0.0,312.5,375
AD01,93.75,0.0,0.0,281.25,375
AE01,125.0,0.0,0.0,250.0,375
AF01,0.0,31.25,0.0,343.75,375
AG01,31.25,31.25,0.0,312.5,375
AH01,62.5,31.25,0.0,281.25,375
AA02,93.75,31.25,0.0,250.0,375
AB02,125.0,31.25,0.0,218.75,375
AC02,0.0,62.5,0.0,312.5,375
AD02,31.25,62.5,0.0,281.25,375
AE02,62.5,62.5,0.0,250.0,375
AF02,93.75,62.5,0.0,218.75,375
AG02,125.0,62.5,0.0,187.5,375
AH02,0.0,93.75,0.0,281.25,375
AA03,31.25,93.75,0.0,250.0,375
AB03,62.5,93.75,0.0,218.75,375
AC03,93.75,93.75,0.0,187.5,375
AD03,125.0,93.75,0.0,156.25,375
AE03,0.0,125.0,0.0,250.0,375
AF03,31.25,125.0,0.0,218.75,375
AG03,62.5,125.0,0.0,187.5,375
AH03,93.75,125.0,0.0,156.25,375
AA04,125.0,125.0,0.0,125.0,375
AB04,0.0,0.0,31.25,343.75,375
AC04,31.25,0.0,31.25,312.5,375
AD04,62.5,0.0,31.25,281.25,375
AE04,93.75,0.0,31.25,250.0,375
AF04,125.0,0.0,31.25,218.75,375
AG04,0.0,31.25,31.25,312.5,375
AH04,31.25,31.25,31.25,281.25,375
AA05,62.5,31.25,31.25,250.0,375
AB05,93.75,31.25,31.25,218.75,375
AC05,125.0,31.25,31.25,187.5,375
AD05,0.0,62.5,31.25,281.25,375
AE05,31.25,62.5,31.25,250.0,375
AF05,62.5,62.5,31.25,218.75,375
AG05,93.75,62.5,31.25,187.5,375
AH05,125.0,62.5,31.25,156.25,375
AA06,0.0,93.75,31.25,250.0,375
AB06,31.25,93.75,31.25,218.75,375
AC06,62.5,93.75,31.25,187.5,375
AD06,93.75,93.75,31.25,156.25,375
AE06,125.0,93.75,31.25,125.0,375
AF06,0.0,125.0,31.25,218.75,375
AG06,31.25,125.0,31.25,187.5,375
AH06,62.5,125.0,31.25,156.25,375
AA07,93.75,125.0,31.25,125.0,375
AB07,125.0,125.0,31.25,93.75,375
AC07,0.0,0.0,62.5,312.5,375
AD07,31.25,0.0,62.5,281.25,375
AE07,62.5,0.0,62.5,250.0,375
AF07,93.75,0.0,62.5,218.75,375
AG07,125.0,0.0,62.5,187.5,375
AH07,0.0,31.25,62.5,281.25,375
AA08,31.25,31.25,62.5,250.0,375
AB08,62.5,31.25,62.5,218.75,375
AC08,93.75,31.25,62.5,187.5,375
AD08,125.0,31.25,62.5,156.25,375
AE08,0.0,62.5,62.5,250.0,375
AF08,31.25,62.5,62.5,218.75,375
AG08,62.5,62.5,62.5,187.5,375
AH08,93.75,62.5,62.5,156.25,375
AA09,125.0,62.5,62.5,125.0,375
AB09,0.0,93.75,62.5,218.75,375
AC09,31.25,93.75,62.5,187.5,375
AD09,62.5,93.75,62.5,156.25,375
AE09,93.75,93.75,62.5,125.0,375
AF09,125.0,93.75,62.5,93.75,375
AG09,0.0,125.0,62.5,187.5,375
AH09,31.25,125.0,62.5,156.25,375
AA10,62.5,125.0,62.5,125.0,375
AB10,93.75,125.0,62.5,93.75,375
AC10,125.0,125.0,62.5,62.5,375
AD10,0.0,0.0,93.75,281.25,375
AE10,31.25,0.0,93.75,250.0,375
AF10,62.5,0.0,93.75,218.75,375
AG10,93.75,0.0,93.75,187.5,375
AH10,125.0,0.0,93.75,156.25,375
AA11,0.0,31.25,93.75,250.0,375
AB11,31.25,31.25,93.75,218.75,375
AC11,62.5,31.25,93.75,187.5,375
AD11,93.75,31.25,93.75,156.25,375
AE11,125.0,31.25,93.75,125.0,375
AF11,0.0,62.5,93.75,218.75,375
AG11,31.25,62.5,93.75,187.5,375
AH11,62.5,62.5,93.75,156.25,375
AA12,93.75,62.5,93.75,125.0,375
AB12,125.0,62.5,93.75,93.75,375
AC12,0.0,93.75,93.75,187.5,375
AD12,31.25,93.75,93.75,156.25,375
AE12,62.5,93.75,93.75,125.0,375
AF12,93.75,93.75,93.75,93.75,375
AG12,125.0,93.75,93.75,62.5,375
AH12,0.0,125.0,93.75,156.25,375
BA01,31.25,125.0,93.75,125.0,375
BB01,62.5,125.0,93.75,93.75,375
BC01,93.75,125.0,93.75,62.5,375
BD01,125.0,125.0,93.75,31.25,375
BE01,0.0,0.0,125.0,250.0,375
BF01,31.25,0.0,125.0,218.75,375
BG01,62.5,0.0,125.0,187.5,375
BH01,93.75,0.0,125.0,156.25,375
BA02,125.0,0.0,125.0,125.0,375
BB02,0.0,31.25,125.0,218.75,375
BC02,31.25,31.25,125.0,187.5,375
BD02,62.5,31.25,125.0,156.25,375
BE02,93.75,31.25,125.0,125.0,375
BF02,125.0,31.25,125.0,93.75,375
BG02,0.0,62.5,125.0,187.5,375
BH02,31.25,62.5,125.0,156.25,375
BA03,62.5,62.5,125.0,125.0,375
BB03,93.75,62.5,125.0,93.75,375
BC03,125.0,62.5,125.0,62.5,375
BD03,0.0,93.75,125.0,156.25,375
BE03,31.25,93.75,125.0,125.0,375
BF03,62.5,93.75,125.0,93.75,375
BG03,93.75,93.75,125.0,62.5,375
BH03,125.0,93.75,125.0,31.25,375
BA04,0.0,125.0,125.0,125.0,375
BB04,31.25,125.0,125.0,93.75,375
BC04,62.5,125.0,125.0,62.5,375
BD04,93.75,125.0,125.0,31.25,375
BE04,125.0,125.0,125.0,0.0,375